filename,prediction,target,is_valid,abs_residual
DB1-Cu2O8N2-BDC_A-DPAC_A_No684_repeat_vox.npz,0.9344882965087892,5.595306873321533,True,4.660818576812744
DB1-Cu2O8-irmof10_A-irmof6_A_No351_repeat_vox.npz,0.3119974136352539,4.879802227020264,True,4.56780481338501
DB15-pcu_N65_E182_opt_repeat_vox.npz,0.4596474766731262,5.0120849609375,True,4.552437484264374
DB1-Cu2O8N2-irmof10_A-irmof20_A_No386_repeat_vox.npz,0.4396623075008392,4.648161888122559,True,4.208499580621719
DB1-Zn2O8-AZO_A-irmof8_A_No357_repeat_vox.npz,0.3327386975288391,4.445856094360352,True,4.1131173968315125
DB1-Zn2O8N2-irmof10_A-irmof20_A_No26_repeat_vox.npz,0.3166797161102295,4.244491100311279,True,3.92781138420105
DB1-Cu2O8-mof177-mofHTB_No42_repeat_vox.npz,0.1459295749664306,4.021364212036133,True,3.875434637069702
DB1-Cu2O8-irmof10_A-irmof7_A_No507_repeat_vox.npz,0.4750404059886932,4.2714009284973145,True,3.796360522508621
DB1-Cu2O8-ADC_A-DPAC_A_No441_repeat_vox.npz,0.208668828010559,3.849895000457764,True,3.641226172447205
DB1-Zn2O8-AZO_A-irmof7_A_No529_repeat_vox.npz,1.6527485847473145,5.183383941650391,True,3.530635356903076
DB5-hypotheticalMOF_5081393_0_0_2_29_2_5_repeat_vox.npz,1.1728754043579102,4.696036815643311,True,3.5231614112854013
DB12-QUQFIS_clean_repeat_vox.npz,0.5458234548568726,4.060808181762695,True,3.5149847269058228
DB1-Cu2O8N2-irmof6_A-irmof8_A_No193_repeat_vox.npz,2.144120454788208,5.574087142944336,True,3.429966688156128
DB1-Cu2O8N2-DPAC_A-irmof14_A_No550_repeat_vox.npz,0.1925691962242126,3.3315389156341557,True,3.138969719409943
DB1-Cu2O8-ADC_A-DPAC_A_No1360_repeat_vox.npz,0.2181426286697387,3.29131293296814,True,3.0731703042984013
DB1-Cu2O8N2-ADC_A-DABCO_A_No19_repeat_vox.npz,0.1247533559799194,3.1802539825439453,True,3.055500626564026
DB12-QUQFOY_clean_repeat_vox.npz,0.697987973690033,3.725366115570069,True,3.027378141880036
DB1-Cu2O8-AZO_A-irmof8_A_No407_repeat_vox.npz,0.2797018885612488,3.2681710720062256,True,2.988469183444977
DB1-Cu2O8N2-DPAC_A-irmof20_A_No22_repeat_vox.npz,0.1608433127403259,3.011120080947876,True,2.85027676820755
DB5-hypotheticalMOF_5010438_0_0_0_8_5_12_repeat_vox.npz,0.709130048751831,3.535322904586792,True,2.826192855834961
